ProviderName,BillingAccountId,BillingAccountName,BillingCurrency,BillingPeriodEnd,BillingPeriodStart,BilledCost,EffectiveCost,ListCost,ChargeCategory,ChargeFrequency,ChargePeriodEnd,ChargePeriodStart,ServiceName,ConsumedQuantity,ConsumedUnit,RegionName,ResourceId,ResourceName,SkuId,Tags,UsageType,ProductFamily
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),bandarujayendra,CoreStack-Engg,copilot_for_business,"{""username"":""bandarujayendra"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),vijaycorestack,CoreStack-Engg,copilot_for_business,"{""username"":""vijaycorestack"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),tarunch1810-bot,CoreStack-Engg,copilot_for_business,"{""username"":""tarunch1810-bot"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),Viggy5399,CoreStack-Engg,copilot_for_business,"{""username"":""Viggy5399"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),kaviya2005-dot,CoreStack-Engg,copilot_for_business,"{""username"":""kaviya2005-dot"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),gokulpalaniswamy,CoreStack-Engg,copilot_for_business,"{""username"":""gokulpalaniswamy"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),SivaVenkatSK,CoreStack-Engg,copilot_for_business,"{""username"":""SivaVenkatSK"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),vishveshCoreStack,CoreStack-Engg,copilot_for_business,"{""username"":""vishveshCoreStack"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),Kajalsinghcorestack,CoreStack-Engg,copilot_for_business,"{""username"":""Kajalsinghcorestack"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
GitHub,org-CoreStack-Engg,CoreStack Engineering,USD      # ISO 4217 code  (built-in default: USD),2026-04-01T00:00:00Z,2026-03-01T00:00:00Z,0.612903216,0.612903216,0.612903216,Usage,Monthly,2026-03-01T23:59:59Z,2026-03-01T00:00:00Z,Copilot,0.032258064,user-months,global   # geographic region (built-in default: global),seshanb,CoreStack-Engg,copilot_for_business,"{""username"":""seshanb"",""organization"":""CoreStack-Engg""}",User Months,Developer Tools
