"date","product","sku","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","username","organization","repository","workflow_path","cost_center_name"
"2026-01-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","bandarujayendra","CoreStack-Engg","","",""
"2026-01-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vijaycorestack","CoreStack-Engg","","",""
"2026-01-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","gokulpalaniswamy","CoreStack-Engg","","",""
"2026-01-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","SivaVenkatSK","CoreStack-Engg","","",""
"2026-01-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","seshanb","CoreStack-Engg","","",""
"2026-01-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vamsiyerra3797","CoreStack-Engg","","",""
"2026-01-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vigneshwarms","CoreStack-Engg","","",""
"2026-01-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Avinash-Naidu","CoreStack-Engg","","",""
"2026-01-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","sankara-nps","CoreStack-Engg","","",""
"2026-01-01","copilot","copilot_premium_request","28","requests","0.04","1.12","1.12","0","vigneshwarms","CoreStack-Engg","","",""
"2026-01-01","copilot","copilot_premium_request","62","requests","0.04","2.48","2.48","0","karthigavaradhan","CoreStack-Engg","","",""
"2026-01-01","copilot","copilot_premium_request","11","requests","0.04","0.44","0.44","0","kavi-yarasi","CoreStack-Engg","","",""
"2026-01-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","zubairhussainDE","CoreStack-Engg","","",""
"2026-01-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","sankara-nps","CoreStack-Engg","","",""
"2026-01-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vigneshwarms","CoreStack-Engg","","",""
"2026-01-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","gokulpalaniswamy","CoreStack-Engg","","",""
"2026-01-02","copilot","copilot_premium_request","18","requests","0.04","0.72","0.72","0","Allwin-saj","CoreStack-Engg","","",""
"2026-01-02","copilot","copilot_premium_request","29","requests","0.04","1.16","1.16","0","KathirS-dev","CoreStack-Engg","","",""
"2026-01-02","copilot","copilot_premium_request","34","requests","0.04","1.36","1.36","0","sureshc-cloud","CoreStack-Engg","","",""
