"date","product","sku","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","username","organization","repository","workflow_path","cost_center_name"
"2026-06-01","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","bandarujayendra","CoreStack-Engg","","",""
"2026-06-01","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","vijaycorestack","CoreStack-Engg","","",""
"2026-06-01","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","gokulpalaniswamy","CoreStack-Engg","","",""
"2026-06-01","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","SivaVenkatSK","CoreStack-Engg","","",""
"2026-06-01","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","seshanb","CoreStack-Engg","","",""
"2026-06-01","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","vamsiyerra3797","CoreStack-Engg","","",""
"2026-06-01","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","vigneshwarms","CoreStack-Engg","","",""
"2026-06-01","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","Avinash-Naidu","CoreStack-Engg","","",""
"2026-06-01","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","sankara-nps","CoreStack-Engg","","",""
"2026-06-01","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","bikash2056","CoreStack-Engg","","",""
"2026-06-01","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","cs-doug","CoreStack-Engg","","",""
"2026-06-01","copilot","copilot_premium_request","74","requests","0.04","2.96","2.96","0","vigneshwarms","CoreStack-Engg","","",""
"2026-06-01","copilot","copilot_premium_request","135","requests","0.04","5.40","5.40","0","karthigavaradhan","CoreStack-Engg","","",""
"2026-06-01","copilot","copilot_premium_request","41","requests","0.04","1.64","1.64","0","kavi-yarasi","CoreStack-Engg","","",""
"2026-06-02","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","zubairhussainDE","CoreStack-Engg","","",""
"2026-06-02","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","sankara-nps","CoreStack-Engg","","",""
"2026-06-02","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","vigneshwarms","CoreStack-Engg","","",""
"2026-06-02","copilot","copilot_for_business","0.033333333","user-months","19","0.633333327","0","0.633333327","gokulpalaniswamy","CoreStack-Engg","","",""
"2026-06-02","copilot","copilot_premium_request","53","requests","0.04","2.12","2.12","0","Allwin-saj","CoreStack-Engg","","",""
"2026-06-02","copilot","copilot_premium_request","88","requests","0.04","3.52","3.52","0","KathirS-dev","CoreStack-Engg","","",""
"2026-06-02","copilot","copilot_premium_request","67","requests","0.04","2.68","2.68","0","sureshc-cloud","CoreStack-Engg","","",""
