"date","product","sku","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","username","organization","repository","workflow_path","cost_center_name"
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","bandarujayendra","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vijaycorestack","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","gokulpalaniswamy","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","SivaVenkatSK","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","seshanb","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vamsiyerra3797","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vigneshwarms","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Avinash-Naidu","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","sankara-nps","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","bikash2056","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_premium_request","37","requests","0.04","1.48","1.48","0","vigneshwarms","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_premium_request","87","requests","0.04","3.48","3.48","0","karthigavaradhan","CoreStack-Engg","","",""
"2026-03-01","copilot","copilot_premium_request","15","requests","0.04","0.60","0.60","0","kavi-yarasi","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","zubairhussainDE","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","sankara-nps","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vigneshwarms","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","gokulpalaniswamy","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_premium_request","21","requests","0.04","0.84","0.84","0","Allwin-saj","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_premium_request","36","requests","0.04","1.44","1.44","0","KathirS-dev","CoreStack-Engg","","",""
"2026-03-02","copilot","copilot_premium_request","45","requests","0.04","1.80","1.80","0","sureshc-cloud","CoreStack-Engg","","",""
