"date","product","sku","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","username","organization","repository","workflow_path","cost_center_name"
"2026-05-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","bandarujayendra","CoreStack-Engg","","",""
"2026-05-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vijaycorestack","CoreStack-Engg","","",""
"2026-05-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","gokulpalaniswamy","CoreStack-Engg","","",""
"2026-05-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","SivaVenkatSK","CoreStack-Engg","","",""
"2026-05-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","seshanb","CoreStack-Engg","","",""
"2026-05-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vamsiyerra3797","CoreStack-Engg","","",""
"2026-05-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vigneshwarms","CoreStack-Engg","","",""
"2026-05-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","Avinash-Naidu","CoreStack-Engg","","",""
"2026-05-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","sankara-nps","CoreStack-Engg","","",""
"2026-05-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","bikash2056","CoreStack-Engg","","",""
"2026-05-01","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","cs-doug","CoreStack-Engg","","",""
"2026-05-01","copilot","copilot_premium_request","61","requests","0.04","2.44","2.44","0","vigneshwarms","CoreStack-Engg","","",""
"2026-05-01","copilot","copilot_premium_request","118","requests","0.04","4.72","4.72","0","karthigavaradhan","CoreStack-Engg","","",""
"2026-05-01","copilot","copilot_premium_request","33","requests","0.04","1.32","1.32","0","kavi-yarasi","CoreStack-Engg","","",""
"2026-05-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","zubairhussainDE","CoreStack-Engg","","",""
"2026-05-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","sankara-nps","CoreStack-Engg","","",""
"2026-05-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","vigneshwarms","CoreStack-Engg","","",""
"2026-05-02","copilot","copilot_for_business","0.032258064","user-months","19","0.612903216","0","0.612903216","gokulpalaniswamy","CoreStack-Engg","","",""
"2026-05-02","copilot","copilot_premium_request","42","requests","0.04","1.68","1.68","0","Allwin-saj","CoreStack-Engg","","",""
"2026-05-02","copilot","copilot_premium_request","72","requests","0.04","2.88","2.88","0","KathirS-dev","CoreStack-Engg","","",""
"2026-05-02","copilot","copilot_premium_request","55","requests","0.04","2.20","2.20","0","sureshc-cloud","CoreStack-Engg","","",""
